property_type,society,sector,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,area_room_ratio
flat,puri the aravallis,sector 61,3.9,33220.0,3.0,4.0,3+,33.0,Under Construction,1174.0,0.0,1.0,0.0,0.0,0.0,0.0,158.0,391.3333333333333
flat,kamal residence,sohna road,0.4,7634.0,2.0,2.0,1,0.0,New Property,582.0,0.0,0.0,0.0,0.0,1.0,1.0,16.0,262.0
flat,vatika inxt floors,sector 82a,1.25,8333.0,3.0,2.0,3,2.0,Relatively New,1667.0,1.0,0.0,0.0,1.0,0.0,1.0,94.0,500.0
flat,orris aster court premier,sector 85,1.38,6509.0,3.0,4.0,2,6.0,Relatively New,1616.0,0.0,1.0,0.0,0.0,0.0,0.0,76.0,706.6666666666666
flat,signature global city 63a,sector 63a,1.65,15264.0,2.0,2.0,2,1.0,Under Construction,978.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,540.5
flat,eldeco accolade,sector 33,1.2,8043.0,2.0,2.0,2,0.0,Under Construction,1492.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,746.0
flat,raheja atlantis,sector 31,5.5,18688.0,4.0,5.0,3+,1.0,Relatively New,2663.0,1.0,1.0,0.0,1.0,0.0,0.0,81.0,735.75
flat,conscient heritage max,sector 102,1.78,9218.0,3.0,4.0,3+,5.0,Moderately Old,1748.0,0.0,1.0,0.0,0.0,0.0,0.0,125.0,643.6666666666666
flat,zara aavaas,sector 104,0.2,6645.0,1.0,2.0,2,3.0,New Property,334.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,301.0
flat,godrej summit,sector 104,1.2,8299.0,3.0,2.0,3+,16.0,Relatively New,1607.0,1.0,0.0,0.0,1.0,0.0,1.0,142.0,482.0
flat,breeze global heights,sector 33,0.4,6421.0,2.0,2.0,2,4.0,Under Construction,623.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,311.5
flat,emaar mgf emerald floors premier,sector 65,2.3,13939.0,3.0,4.0,3,3.0,Relatively New,1833.0,1.0,1.0,1.0,1.0,0.0,2.0,174.0,550.0
flat,shree vardhman flora,sector 90,0.65,5000.0,2.0,2.0,2,12.0,Old Property,1176.0,1.0,0.0,0.0,0.0,0.0,0.0,103.0,650.0
flat,indiabulls enigma,sector 110,4.0,9850.0,4.0,4.0,3,17.0,New Property,3350.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,1015.25
flat,puri diplomatic greens,sector 111,2.65,11964.0,3.0,4.0,3+,19.0,Relatively New,2005.0,1.0,1.0,1.0,1.0,0.0,0.0,65.0,738.3333333333334
house,landmark house,sector 43,2.75,25463.0,3.0,3.0,1,2.0,Moderately Old,1080.0,0.0,0.0,0.0,1.0,0.0,0.0,21.0,360.0
house,dlf floors phase 3,sector 24,3.51,12342.0,4.0,4.0,3,4.0,Under Construction,2844.0,1.0,1.0,1.0,1.0,0.0,1.0,160.0,711.0
flat,mapsko mount ville,sector 79,1.3,8725.0,3.0,3.0,3,19.0,Relatively New,1176.0,0.0,0.0,1.0,0.0,0.0,1.0,102.0,496.6666666666667
flat,vatika gurgaon,sector 83,1.19,7438.0,3.0,3.0,2,10.0,Relatively New,1778.0,0.0,1.0,0.0,0.0,0.0,1.0,35.0,533.3333333333334
flat,dlf new town heights,sector 90,1.25,8639.0,3.0,4.0,3+,0.0,Old Property,1608.0,0.0,1.0,0.0,0.0,0.0,2.0,31.0,482.3333333333333
flat,shapoorji pallonji joyville gurugram,sector 102,2.12,16960.0,3.0,3.0,3,9.0,Relatively New,1852.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,416.6666666666667
flat,alpha corp gurgaonone,sector 84,2.2,7586.0,4.0,4.0,3,10.0,Relatively New,3222.0,0.0,1.0,0.0,0.0,0.0,0.0,21.0,725.0
flat,smart world orchard,sector 61,2.41,14785.0,3.0,3.0,3,2.0,New Property,1630.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,543.3333333333334
